Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 593.393309, Charging Time: 35.020647
Start Time: 606.038358, Charging Time: 31.009780
Start Time: 639.508051, Charging Time: 6.687522
Start Time: 631.465022, Charging Time: 17.469887
Start Time: 618.636969, Charging Time: 38.459691
Start Time: 648.996923, Charging Time: 10.619950
Start Time: 665.803486, Charging Time: 10.059488
Start Time: 664.418966, Charging Time: 15.637742
Start Time: 683.119789, Charging Time: 3.542352
Start Time: 680.713540, Charging Time: 7.235528
Start Time: 686.479668, Charging Time: 8.835652
Start Time: 684.888852, Charging Time: 22.335312
Start Time: 705.895637, Charging Time: 10.006553
Start Time: 696.590101, Charging Time: 24.319543
Start Time: 706.946467, Charging Time: 16.399258
Start Time: 710.082851, Charging Time: 19.519791
Start Time: 725.626891, Charging Time: 5.042640
Start Time: 714.020053, Charging Time: 18.261955
Start Time: 725.147595, Charging Time: 19.225084
Start Time: 724.094613, Charging Time: 27.640284
Start Time: 743.644520, Charging Time: 19.337786
Start Time: 743.258689, Charging Time: 38.269017
Start Time: 749.804411, Charging Time: 33.918751
Start Time: 755.342192, Charging Time: 34.604748
Start Time: 795.891855, Charging Time: 2.835334
Start Time: 782.671357, Charging Time: 22.951107
Start Time: 798.119332, Charging Time: 9.282714
Start Time: 782.059012, Charging Time: 25.837856
Start Time: 803.592177, Charging Time: 5.126843
Start Time: 797.740178, Charging Time: 12.083898
Start Time: 806.959872, Charging Time: 3.208982
Start Time: 778.577060, Charging Time: 35.218843
Start Time: 795.032080, Charging Time: 25.795696
Start Time: 824.650859, Charging Time: 5.382289
Start Time: 830.209055, Charging Time: 7.135252
Start Time: 807.324934, Charging Time: 31.609611
--------------------------------------
Average Charging Time: 19.627790 mins
======================================
Statistics for DC 50kWh Charger (0-20%):
--------------------------------------
Start Time: 1.534112, Charging Time: 24.256825
Start Time: 27.618715, Charging Time: 2.482002
Start Time: 10.222972, Charging Time: 21.082606
Start Time: 37.131997, Charging Time: 2.509159
Start Time: 27.795473, Charging Time: 17.050480
Start Time: 24.761036, Charging Time: 34.156684
Start Time: 37.788325, Charging Time: 24.487842
Start Time: 57.137183, Charging Time: 6.769363
Start Time: 56.173346, Charging Time: 28.479216
Start Time: 77.785847, Charging Time: 27.297338
Start Time: 107.201922, Charging Time: 20.737069
Start Time: 129.610456, Charging Time: 1.031244
Start Time: 110.952993, Charging Time: 28.918693
Start Time: 115.102685, Charging Time: 26.004191
Start Time: 128.364647, Charging Time: 26.597371
Start Time: 141.471574, Charging Time: 33.234690
Start Time: 153.306805, Charging Time: 25.500564
Start Time: 173.279729, Charging Time: 13.264954
Start Time: 175.274972, Charging Time: 19.609957
Start Time: 176.184477, Charging Time: 27.182749
Start Time: 177.141362, Charging Time: 29.111536
Start Time: 202.371286, Charging Time: 7.276976
Start Time: 189.731840, Charging Time: 22.204301
Start Time: 210.609057, Charging Time: 4.338874
Start Time: 199.898010, Charging Time: 30.029205
Start Time: 215.737548, Charging Time: 15.673155
Start Time: 198.784259, Charging Time: 33.835527
Start Time: 208.230221, Charging Time: 34.003908
Start Time: 218.695058, Charging Time: 30.086607
Start Time: 239.400985, Charging Time: 12.553617
Start Time: 235.582813, Charging Time: 20.696502
Start Time: 251.273744, Charging Time: 8.728398
Start Time: 273.954966, Charging Time: 4.614723
Start Time: 248.186473, Charging Time: 32.472211
Start Time: 278.893235, Charging Time: 9.664193
Start Time: 312.406111, Charging Time: 8.839235
Start Time: 337.251531, Charging Time: 1.343099
Start Time: 324.572819, Charging Time: 18.912903
Start Time: 341.154307, Charging Time: 4.253378
Start Time: 335.291821, Charging Time: 12.137912
Start Time: 317.892890, Charging Time: 30.313826
Start Time: 344.523241, Charging Time: 4.007232
Start Time: 344.466123, Charging Time: 5.086507
Start Time: 330.763918, Charging Time: 20.606412
Start Time: 334.600104, Charging Time: 16.981449
Start Time: 346.521985, Charging Time: 29.320699
Start Time: 352.543279, Charging Time: 27.088568
Start Time: 363.886053, Charging Time: 32.457693
Start Time: 410.308664, Charging Time: 8.036985
Start Time: 408.630706, Charging Time: 17.473145
Start Time: 415.970913, Charging Time: 13.148296
Start Time: 423.925091, Charging Time: 10.787937
Start Time: 412.549725, Charging Time: 24.504731
Start Time: 421.952808, Charging Time: 18.870944
Start Time: 415.049671, Charging Time: 33.825982
Start Time: 443.389489, Charging Time: 9.615750
Start Time: 442.687075, Charging Time: 16.220636
Start Time: 438.271463, Charging Time: 27.987359
Start Time: 468.761515, Charging Time: 1.958604
Start Time: 477.077317, Charging Time: 13.066850
Start Time: 489.402604, Charging Time: 4.994859
Start Time: 528.145836, Charging Time: 9.613347
Start Time: 511.189848, Charging Time: 32.855145
Start Time: 538.480302, Charging Time: 6.811941
Start Time: 525.078428, Charging Time: 25.682550
Start Time: 538.940181, Charging Time: 19.696603
Start Time: 567.276672, Charging Time: 5.725318
Start Time: 572.733008, Charging Time: 0.361184
Start Time: 593.857399, Charging Time: 9.974788
Start Time: 595.187350, Charging Time: 14.512824
Start Time: 606.053058, Charging Time: 11.193118
Start Time: 588.133629, Charging Time: 32.492254
Start Time: 629.766367, Charging Time: 3.645292
Start Time: 633.645023, Charging Time: 0.251785
Start Time: 613.118543, Charging Time: 28.627152
Start Time: 625.672466, Charging Time: 22.606201
Start Time: 648.275603, Charging Time: 3.401619
Start Time: 644.615038, Charging Time: 11.025683
Start Time: 648.156362, Charging Time: 13.907227
Start Time: 670.685286, Charging Time: 4.488104
Start Time: 674.199778, Charging Time: 14.800078
Start Time: 664.588688, Charging Time: 29.408428
