Statistics for AC 11kWh Charger (0-20%):
--------------------------------------
Start Time: 33.033720, Charging Time: 12.049358
Start Time: 45.432715, Charging Time: 30.934402
Start Time: 89.794412, Charging Time: 0.887826
Start Time: 76.974959, Charging Time: 20.728308
Start Time: 112.505450, Charging Time: 4.019169
Start Time: 111.166755, Charging Time: 9.198821
Start Time: 113.101297, Charging Time: 19.427935
Start Time: 135.656116, Charging Time: 5.840657
Start Time: 142.108758, Charging Time: 13.921780
Start Time: 136.881687, Charging Time: 19.507106
Start Time: 143.168659, Charging Time: 15.657731
Start Time: 128.766810, Charging Time: 32.274927
Start Time: 179.262109, Charging Time: 18.726249
Start Time: 174.818921, Charging Time: 23.796674
Start Time: 200.033134, Charging Time: 16.120910
Start Time: 234.323775, Charging Time: 1.054891
Start Time: 231.160547, Charging Time: 20.350167
Start Time: 237.495964, Charging Time: 27.772630
Start Time: 251.000732, Charging Time: 22.204301
Start Time: 244.231331, Charging Time: 30.800742
Start Time: 265.473824, Charging Time: 13.500666
Start Time: 292.155654, Charging Time: 9.382292
Start Time: 276.044627, Charging Time: 34.003908
Start Time: 291.588695, Charging Time: 30.086607
Start Time: 305.484237, Charging Time: 24.441450
Start Time: 331.080001, Charging Time: 8.390761
Start Time: 306.890382, Charging Time: 33.574632
Start Time: 366.158011, Charging Time: 0.446322
Start Time: 362.131422, Charging Time: 8.138288
Start Time: 358.642202, Charging Time: 25.201334
Start Time: 385.112330, Charging Time: 1.506381
Start Time: 360.254271, Charging Time: 29.365108
Start Time: 389.816603, Charging Time: 19.667469
Start Time: 402.578480, Charging Time: 18.774954
Start Time: 413.326580, Charging Time: 8.453266
Start Time: 407.848713, Charging Time: 27.183628
Start Time: 420.500896, Charging Time: 26.841470
Start Time: 437.881936, Charging Time: 13.584151
Start Time: 440.531658, Charging Time: 33.515171
Start Time: 466.255339, Charging Time: 22.072275
Start Time: 486.658459, Charging Time: 23.007397
Start Time: 507.260107, Charging Time: 23.498763
Start Time: 527.966837, Charging Time: 12.351341
Start Time: 514.671505, Charging Time: 28.340172
Start Time: 535.482230, Charging Time: 22.425600
Start Time: 553.441721, Charging Time: 8.718723
Start Time: 548.162025, Charging Time: 14.926322
Start Time: 553.385276, Charging Time: 17.428260
Start Time: 545.983556, Charging Time: 26.480044
Start Time: 563.028315, Charging Time: 24.508650
Start Time: 579.378540, Charging Time: 10.226698
Start Time: 564.153214, Charging Time: 33.816573
Start Time: 584.094269, Charging Time: 19.246601
Start Time: 594.450818, Charging Time: 13.145835
Start Time: 590.517578, Charging Time: 18.374819
Start Time: 592.994931, Charging Time: 16.800790
Start Time: 596.277980, Charging Time: 14.585287
Start Time: 599.157467, Charging Time: 14.954441
Start Time: 600.134826, Charging Time: 21.480401
Start Time: 620.193964, Charging Time: 2.719820
Start Time: 613.223100, Charging Time: 17.101691
Start Time: 619.270705, Charging Time: 14.122831
Start Time: 625.602922, Charging Time: 8.815530
Start Time: 659.607540, Charging Time: 0.986950
Start Time: 655.571786, Charging Time: 6.122201
Start Time: 645.208192, Charging Time: 17.503556
Start Time: 666.624013, Charging Time: 13.784909
Start Time: 652.182960, Charging Time: 28.461986
Start Time: 684.483210, Charging Time: 21.244648
Start Time: 702.186305, Charging Time: 4.093701
Start Time: 708.560751, Charging Time: 16.987043
Start Time: 698.256607, Charging Time: 27.644883
Start Time: 720.303179, Charging Time: 15.271390
Start Time: 709.588221, Charging Time: 27.594869
Start Time: 730.150953, Charging Time: 12.996473
Start Time: 734.862601, Charging Time: 29.583245
Start Time: 732.495267, Charging Time: 34.198399
Start Time: 746.706754, Charging Time: 21.773120
Start Time: 749.412959, Charging Time: 19.769472
Start Time: 760.366712, Charging Time: 9.793981
Start Time: 753.906169, Charging Time: 21.515873
Start Time: 760.725972, Charging Time: 21.145971
Start Time: 784.543690, Charging Time: 0.361184
Start Time: 769.974723, Charging Time: 20.238500
Start Time: 777.773015, Charging Time: 20.592013
Start Time: 777.537460, Charging Time: 24.555814
Start Time: 795.368869, Charging Time: 7.261689
Start Time: 820.157087, Charging Time: 8.274778
Start Time: 840.317916, Charging Time: 6.330652
Start Time: 825.161511, Charging Time: 30.157090
Start Time: 875.287115, Charging Time: 10.796887
Start Time: 932.152227, Charging Time: 14.667667
Start Time: 937.587270, Charging Time: 10.941879
Start Time: 1040.009055, Charging Time: 31.575262
Start Time: 1123.646369, Charging Time: 12.548413
Start Time: 1334.858702, Charging Time: 4.488104
Start Time: 1311.389289, Charging Time: 32.130439
--------------------------------------
Average Charging Time: 17.834085 mins
======================================
Statistics for DC 80kWh Charger (0-20%):
--------------------------------------
Start Time: 72.859026, Charging Time: 2.150215
Start Time: 76.148122, Charging Time: 9.574249
Start Time: 179.614837, Charging Time: 13.939070
Start Time: 238.556172, Charging Time: 6.978982
